Sloeret_SkibID,Skib_Nationalitet,Fangst,Redskab,Art,Fiske_Zone,Afs_Havn,Afsejling_Datomedtid,Ankomst_Datomedtid,Fng_Um_Eng,Fng_Um_Egenskab
HIT2S,DNK,10,GTR,SKR,EEC,29024,1/3/21 7:15,1/3/21 13:00,LSC,Legally sized catch
HMT/S,DNK,103,GTR,PGH,EEC,20001,1/7/21 21:45,1/15/21 1:32,LSC,Legally sized catch
HPT2S,DNK,20,GTR,RSP,EEC,8027,1/19/21 7:30,1/19/21 10:45,LSC,Legally sized catch
HPT5S,DNK,29,GTR,SKR,EEC,9037,1/8/21 10:00,1/8/21 17:00,LSC,Legally sized catch
"HST1S,DNK,""8,000"",OTM,BRS,EEC,33026,1/7/21 3:06,1/7/21 17:30,LSC,Legally sized catch"
IBT3S:F,DNK,350,OTB,DVH,EEC,11002,1/3/21 5:30,1/3/21 18:55,LSC,Legally sized catch
"IBT4S1F,DNK,""24,000"",BMS,BMX,EEC,25014,1/4/21 4:30,1/4/21 19:15,LSC,Legally sized catch"
IFT1S6F,DNK,60,TBB,HRJ,EEC,19006,1/2/21 16:10,1/4/21 10:00,LSC,Legally sized catch
IFT2S2F,DNK,200,TBB,HRJ,EEC,19006,1/1/21 16:20,1/4/21 11:30,LSC,Legally sized catch
IFT4S4F,DNK,1,UNK,YYY,EEC,25035,1/4/21 10:30,1/4/21 12:30,AMS,Above maximum size
IFT5S9F,DNK,30,MIS,HMX,EEC,19006,1/3/21 4:12,1/3/21 5:48,LSC,Legally sized catch
IIT/S1F,DNK,3,OTB,TAK,EEC,29011,1/2/21 13:00,1/3/21 10:50,LSC,Legally sized catch
IIT0S:F,DNK,1,TBN,TNG,EEC,29011,1/7/21 14:00,1/8/21 6:20,BMS,Below minimum size
IIT1S3F,DNK,10,GN,TOR,EEC,29005,1/8/21 8:00,1/8/21 11:00,LSC,Legally sized catch
IIT1S7F,DNK,2,GTR,STB,EEC,32003,1/19/21 13:00,1/19/21 15:30,LSC,Legally sized catch
"IIT2S6F,DNK,""42,000"",PTM,SIL,EEC,29011,1/2/21 12:15,1/3/21 5:35,LSC,Legally sized catch"
IIT2S:F,DNK,12,OTB,DVH,EEC,29011,1/1/21 13:55,1/1/21 19:30,LSC,Legally sized catch
IIT3S6F,DNK,1,UNK,YYY,EEC,29011,1/2/21 9:00,1/4/21 16:00,AMS,Above maximum size
IIT5S8F,DNK,10,OTB,RSP,EEC,29011,1/1/21 13:50,1/2/21 11:30,BMS,Below minimum size
IIT6S5F,DNK,20,OTB,TOR,EEC,12001,1/2/21 4:30,1/2/21 20:00,LSC,Legally sized catch
IITES3F,DNK,11,GNS,SKR,EEC,28001,1/17/21 8:00,1/17/21 18:00,LSC,Legally sized catch
IITES6F,DNK,180,GN,TOR,EEC,28001,1/15/21 22:29,1/16/21 16:40,LSC,Legally sized catch
IITES8F,DNK,264,GN,TOR,EEC,28001,1/14/21 22:10,1/15/21 17:00,LSC,Legally sized catch
IITKS9F,DNK,5,GNS,AND,EEC,27023,1/2/21 0:30,1/2/21 15:50,LSC,Legally sized catch
IITMS3F,DNK,1,UNK,QQQ,EEC,17009,1/29/21 7:30,1/29/21 11:30,AMS,Above maximum size
IITMS7F,DNK,1,UNK,YYY,EEC,10032,1/4/21 4:30,1/4/21 7:30,AMS,Above maximum size
"IITMS8F,DNK,""26,500"",DRB,BMX,EEC,32027,1/2/21 4:50,1/2/21 11:35,LSC,Legally sized catch"
ILT/S5F,DNK,5,GN,ISG,EEC,1013,1/3/21 6:00,1/3/21 13:00,LSC,Legally sized catch
ILT/S7F,DNK,1,GN,SLH,EEC,1033,1/17/21 6:00,1/17/21 13:00,LSC,Legally sized catch
ILT5S3F,DNK,128,GN,TOR,EEC,1005,1/26/21 7:45,1/26/21 14:00,LSC,Legally sized catch
IMT/S1F,DNK,146,GN,TOR,EEC,23001,1/1/21 5:00,1/1/21 23:15,LSC,Legally sized catch
IMT/S3F,DNK,5,OTB,RTG,EEC,23001,1/2/21 1:35,1/3/21 9:05,LSC,Legally sized catch
IMT/S6F,DNK,16,FPO,AHM,EEC,17004,1/9/21 9:00,1/9/21 16:00,LSC,Legally sized catch
IMT1S5F,DNK,70,GNS,TAK,EEC,23001,1/5/21 4:10,1/5/21 18:05,LSC,Legally sized catch
IMT2S1F,DNK,1,UNK,YYY,EEC,23001,1/25/21 9:30,1/25/21 11:37,AMS,Above maximum size
"IMT3S5F,DNK,""6,100"",BMS,BMX,EEC,25001,1/14/21 5:50,1/14/21 8:03,LSC,Legally sized catch"
IMT3S7F,DNK,7,OTB,RTG,NOR,51057,12/27/20 9:57,1/1/21 14:15,LSC,Legally sized catch
IMT4S7F,DNK,35,GNS,ISG,EEC,23001,1/1/21 15:00,1/7/21 2:20,LSC,Legally sized catch
IMT5S1F,DNK,5,GTR,AND,EEC,22007,1/2/21 5:25,1/2/21 15:50,LSC,Legally sized catch
IOTBS9F,DNK,260,GTR,TOR,EEC,31010,1/2/21 5:00,1/2/21 15:00,LSC,Legally sized catch
IOTDS8F,DNK,157,GNS,TOR,EEC,1013,1/3/21 6:15,1/3/21 11:00,LSC,Legally sized catch
IPT/S1F,DNK,2,OTB,RSP,EEC,8018,1/7/21 0:30,1/7/21 20:05,BMS,Below minimum size
IPT1S2F,DNK,20,GTR,SKR,EEC,8027,1/4/21 4:50,1/4/21 11:53,LSC,Legally sized catch
IPT1S3F,DNK,1,UNK,YYY,EEC,8016,1/8/21 3:15,1/8/21 9:00,AMS,Above maximum size
IPT1S:F,DNK,20,OTB,TOR,EEC,8018,1/3/21 3:00,1/3/21 14:50,LSC,Legally sized catch
IPT2S2F,DNK,125,OTB,ISG,EEC,8018,1/2/21 0:10,1/2/21 18:45,LSC,Legally sized catch
IPT3S:F,DNK,18,OTB,ISG,EEC,8018,1/19/21 7:00,1/19/21 17:00,LSC,Legally sized catch
IPT6S4F,DNK,3,OTB,RSP,EEC,9041,1/3/21 6:30,1/3/21 13:30,BMS,Below minimum size
